annee_inscription;etape;libel_etape;version_etape;num_etudiant;ine;nom;prenom;date_naissance;sexe;nationalite;code_postal;ville;cat_socio_etudiant;cat_socio_parent;bac;mention;annee_bac;departement_bac;etablissement_bac;lib_etab_bac;situ_annee_prec;bourse_superieur
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;69806859364;X778451849R;CRESPIN;Rhonda;2000-03-14;F;FRANCAIS(E);35000;RENNES;Personne sans activite professionnelle;Ingenieur cadre technique d'entreprise;S;AB;2018;35;0350030T;PIERRE MENDES FRANCE;A;
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;43752088263;Q621058940H;QUINTIN;Urban;2000-05-03;M;FRANCAIS(E);22290;LANVOLLON;Personne sans activite professionnelle;Ouvriers qualifiés de type industriel;S;B;2018;22;0220058U;CHAPTAL;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;43752088263;Q621058940H;QUINTIN;Urban;2000-05-03;M;FRANCAIS(E);22290;LANVOLLON;Personne sans activite professionnelle;Ouvriers qualifiés de type industriel;S;B;2018;22;0220058U;CHAPTAL;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;80272818517;K068763096V;FOURCADE;Jamison;2001-01-15;M;FRANCAIS(E);50300;VAINS;Elève/Etudiant;Employe de commerce;S;B;2018;50;0500002F;EMILE LITTRE;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;80272818517;K068763096V;FOURCADE;Jamison;2001-01-15;M;FRANCAIS(E);50300;VAINS;Personne sans activite professionnelle;Employe de commerce;S;B;2018;50;0500002F;EMILE LITTRE;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;31564542817;N313355355N;GUESDON;Lloyd;2000-08-07;M;FRANCAIS(E);35220;CHATEAUBOURG;Personne sans activite professionnelle;Ingenieur cadre technique d'entreprise;S;AB;2018;35;0350029S;JOLIOT-CURIE;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;31564542817;N313355355N;GUESDON;Lloyd;2000-08-07;M;FRANCAIS(E);35220;CHATEAUBOURG;Personne sans activite professionnelle;Ingenieur cadre technique d'entreprise;S;AB;2018;35;0350029S;JOLIOT-CURIE;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;21081554352;Y734664636Y;FLORES;Xerxes;2000-12-06;M;FRANCAIS(E);22960;PLEDRAN;Personne sans activite professionnelle;Ouvriers qualifiés de type industriel;S;P;2018;22;0220057T;ERNEST RENAN;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;21081554352;Y734664636Y;FLORES;Xerxes;2000-12-06;M;FRANCAIS(E);22960;PLEDRAN;Personne sans activite professionnelle;Ouvriers qualifiés de type industriel;S;P;2018;22;0220057T;ERNEST RENAN;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;28115114148;K118468136P;COLOMBEL;Durward;2000-06-16;M;FRANCAIS(E);29390;SCAER;Personne sans activite professionnelle;Ouvriers qualifiés de type industriel;S;AB;2018;29;0290174G;PRIVE ND DE KERBERTRAND;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;28115114148;K118468136P;COLOMBEL;Durward;2000-06-16;M;FRANCAIS(E);29390;SCAER;Personne sans activite professionnelle;Ouvriers qualifiés de type industriel;S;AB;2018;29;0290174G;PRIVE ND DE KERBERTRAND;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;41808189449;I632243252H;PHILIP;Branden;2000-07-03;M;FRANCAIS(E);29000;QUIMPER;Personne sans activite professionnelle;Cadre administratif et commercial d'entr;TI2D;AB;2018;29;0290170C;PRIVE LE LIKES;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;41808189449;I632243252H;PHILIP;Branden;2000-07-03;M;FRANCAIS(E);29000;QUIMPER;Personne sans activite professionnelle;Cadre administratif et commercial d'entr;TI2D;AB;2018;29;0290170C;PRIVE LE LIKES;A;
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;71616113372;M578522831C;ORY;Delroy;2000-04-06;M;FRANCAIS(E);29380;BANNALEC;Elève/Etudiant;Retraité artisan-commerce-chef entrepris;S;P;2018;29;0290071V;YVES THEPOT;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;71616113372;M578522831C;ORY;Delroy;2000-04-06;M;FRANCAIS(E);29380;BANNALEC;Elève/Etudiant;Retraité artisan-commerce-chef entrepris;S;P;2018;29;0290071V;YVES THEPOT;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;27356664926;P792597219B;MARY;Antony;2000-05-04;M;FRANCAIS(E);22100;DINAN;Elève/Etudiant;Profession interm sante et  trav. social;S;P;2018;22;0220013V;FONTAINE DES EAUX;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;27356664926;P792597219B;MARY;Antony;2000-05-04;M;FRANCAIS(E);22100;DINAN;Elève/Etudiant;Profession interm sante et  trav. social;S;P;2018;22;0220013V;FONTAINE DES EAUX;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;56863476441;F653521673B;BOURY;Jonathon;1999-09-21;M;FRANCAIS(E);35340;LIFFRE;Elève/Etudiant;Cadre de la fonction publique;TI2D;AB;2018;35;0350793X;PRIVE ST ETIENNE;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;56863476441;F653521673B;BOURY;Jonathon;1999-09-21;M;FRANCAIS(E);35340;LIFFRE;Elève/Etudiant;Cadre de la fonction publique;TI2D;AB;2018;35;0350793X;PRIVE ST ETIENNE;A;Bourse enseignement supérieur définitive
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;58522389314;T335847735I;LECAT;Lorin;2000-08-14;M;FRANCAIS(E);35750;IFFENDIC;Elève/Etudiant;Employe civil-agent de service de la FP;S;B;2018;35;0350030T;PIERRE MENDES FRANCE;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;58522389314;T335847735I;LECAT;Lorin;2000-08-14;M;FRANCAIS(E);35750;IFFENDIC;Elève/Etudiant;Employe civil-agent de service de la FP;S;B;2018;35;0350030T;PIERRE MENDES FRANCE;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;82662212710;B033131544X;FAGES;Cole;2000-03-26;M;FRANCAIS(E);22120;HILLION;Elève/Etudiant;Ouvriers qualifiés de type industriel;S;P;2018;22;0220056S;RABELAIS;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;82662212710;B033131544X;FAGES;Cole;2000-03-26;M;FRANCAIS(E);22120;HILLION;Elève/Etudiant;Ouvriers qualifiés de type industriel;S;P;2018;22;0220056S;RABELAIS;A;Bourse enseignement supérieur définitive
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;37700977726;E667534134J;ROUILLE;Tybalt;2000-02-14;M;FRANCAIS(E);22230;SAINT-VRAN;Elève/Etudiant;Ouvrier qualifie;S;AB;2018;22;0220027K;LYCEE GENERAL ET TECHNOLOGIQUE;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;37700977726;E667534134J;ROUILLE;Tybalt;2000-02-14;M;FRANCAIS(E);22230;SAINT-VRAN;Elève/Etudiant;Ouvrier qualifie;S;AB;2018;22;0220027K;LYCEE GENERAL ET TECHNOLOGIQUE;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;71541754786;O211843436C;FAUCHER;Benjy;2000-03-01;M;FRANCAIS(E);22600;SAINT-CARADEC;Personne sans activite professionnelle;Person. service direct aux particuliers;S;AB;2018;22;0220027K;LYCEE GENERAL ET TECHNOLOGIQUE;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;71541754786;O211843436C;FAUCHER;Benjy;2000-03-01;M;FRANCAIS(E);22600;SAINT-CARADEC;Personne sans activite professionnelle;Person. service direct aux particuliers;S;AB;2018;22;0220027K;LYCEE GENERAL ET TECHNOLOGIQUE;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;53641287755;M765995485R;FOURRE;Hector;2000-11-23;M;FRANCAIS(E);56800;LOYAT;Elève/Etudiant;Retraité employé;S;P;2018;56;0560105K;PRIVE LA MENNAIS;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;53641287755;M765995485R;FOURRE;Hector;2000-11-23;M;FRANCAIS(E);56800;LOYAT;Personne sans activite professionnelle;Retraité employé;S;P;2018;56;0560105K;PRIVE LA MENNAIS;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;46752018586;U357444956V;ROSSIGNOL;Milo;2000-09-18;M;FRANCAIS(E);35000;RENNES;Personne sans activite professionnelle;Retraité cadre;S;B;2018;35;0350026N;JEAN MACE;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;46752018586;U357444956V;ROSSIGNOL;Milo;2000-09-18;M;FRANCAIS(E);35000;RENNES;Personne sans activite professionnelle;Retraité cadre;S;B;2018;35;0350026N;JEAN MACE;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;34572562393;C530228484L;MOINE;Dudley;2000-04-24;M;FRANCAIS(E);22100;BOBITAL;Personne sans activite professionnelle;Technicien;S;AB;2018;22;0220013V;FONTAINE DES EAUX;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;34572562393;C530228484L;MOINE;Dudley;2000-04-24;M;FRANCAIS(E);22100;BOBITAL;Personne sans activite professionnelle;Technicien;S;AB;2018;22;0220013V;FONTAINE DES EAUX;A;Bourse enseignement supérieur définitive
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;50613382477;N552366813T;BAUD;Arden;2000-10-02;M;FRANCAIS(E);35140;SAINT-HILAIRE-DES-LANDES;Elève/Etudiant;Policier et militaire;S;AB;2018;35;0350011X;JEAN GUEHENNO;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;50613382477;N552366813T;BAUD;Arden;2000-10-02;M;FRANCAIS(E);35140;SAINT-HILAIRE-DES-LANDES;Personne sans activite professionnelle;Policier et militaire;S;AB;2018;35;0350011X;JEAN GUEHENNO;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;37845525863;A785627696M;AVRIL;Erica;2000-09-23;F;FRANCAIS(E);29800;PENCRAN;Personne sans activite professionnelle;Technicien;ES;B;2018;29;0290044R;DE L ELORN;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;37845525863;A785627696M;AVRIL;Erica;2000-09-23;F;FRANCAIS(E);29800;PENCRAN;Personne sans activite professionnelle;Technicien;ES;B;2018;29;0290044R;DE L ELORN;A;
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;88963243766;R038846981T;BOURG;Christine;2000-04-30;F;FRANCAIS(E);35230;ORGERES;Personne sans activite professionnelle;Technicien;S;AB;2018;35;0350028R;BREQUIGNY STS;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;88963243766;R038846981T;BOURG;Christine;2000-04-30;F;FRANCAIS(E);35230;ORGERES;Personne sans activite professionnelle;Technicien;S;AB;2018;35;0350028R;BREQUIGNY STS;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;25217255841;O363141617M;VERGNES;Chuck;2000-10-15;M;FRANCAIS(E);22300;LANNION;Elève/Etudiant;Ingenieur cadre technique d'entreprise;S;AB;2018;22;0220023F;FELIX LE DANTEC;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;25217255841;O363141617M;VERGNES;Chuck;2000-10-15;M;FRANCAIS(E);22300;LANNION;Elève/Etudiant;Ingenieur cadre technique d'entreprise;S;AB;2018;22;0220023F;FELIX LE DANTEC;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;48676862325;D712904729D;LAVILLE;Flip;2000-10-02;M;FRANCAIS(E);56530;QUEVEN;Elève/Etudiant;Personne sans activite professionnelle;S;B;2018;56;0560026Z;COLBERT;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;48676862325;D712904729D;LAVILLE;Flip;2000-10-02;M;FRANCAIS(E);56530;QUEVEN;Elève/Etudiant;Personne sans activite professionnelle;S;B;2018;56;0560026Z;COLBERT;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;28476752855;S529685755M;PERON;Joan;2000-10-09;F;FRANCAIS(E);29460;HOPITAL-CAMFROUT;Personne sans activite professionnelle;Professeur, profession scientifique;S;B;2018;29;0290007A;KERICHEN;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;28476752855;S529685755M;PERON;Joan;2000-10-09;F;FRANCAIS(E);29460;HOPITAL-CAMFROUT;Personne sans activite professionnelle;Professeur, profession scientifique;S;B;2018;29;0290007A;KERICHEN;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;77443626216;Z168613929K;CARTON;Kodey;2000-10-17;M;FRANCAIS(E);22410;SAINT-QUAY-PORTRIEUX;Personne sans activite professionnelle;Person. service direct aux particuliers;S;B;2018;22;0220060W;E.FREYSSINET;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;77443626216;Z168613929K;CARTON;Kodey;2000-10-17;M;FRANCAIS(E);22410;SAINT-QUAY-PORTRIEUX;Personne sans activite professionnelle;Person. service direct aux particuliers;S;B;2018;22;0220060W;E.FREYSSINET;A;Bourse enseignement supérieur définitive
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;91315361287;O076565843O;TANGUY;Philip;2000-10-18;M;FRANCAIS(E);29100;DOUARNENEZ;Personne sans activite professionnelle;Ingenieur cadre technique d'entreprise;S;AB;2018;29;0290194D;PRIVE STE ELISABETH;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;91315361287;O076565843O;TANGUY;Philip;2000-10-18;M;FRANCAIS(E);29100;DOUARNENEZ;Personne sans activite professionnelle;Ingenieur cadre technique d'entreprise;S;AB;2018;29;0290194D;PRIVE STE ELISABETH;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;86323852768;C341539474I;SIMONET;Jarrett;2000-11-02;M;FRANCAIS(E);44640;LE PELLERIN;Elève/Etudiant;Commercant et assimile;S;AB;2018;44;0442309W;LYCEE GENERAL ET TECHNOLOGIQUE ALCIDE D';C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;86323852768;C341539474I;SIMONET;Jarrett;2000-11-02;M;FRANCAIS(E);44640;LE PELLERIN;Personne sans activite professionnelle;Commercant et assimile;S;AB;2018;44;0442309W;LYCEE GENERAL ET TECHNOLOGIQUE ALCIDE D';A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;19123731423;F166455228B;MONFORT;Angie;2000-10-06;F;FRANCAIS(E);56440;LANGUIDIC;Personne sans activite professionnelle;Ouvriers qualifiés manutention magasin;S;AB;2018;56;0560098C;PRIVE NOTRE DAME DU VOEU;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;19123731423;F166455228B;MONFORT;Angie;2000-10-06;F;FRANCAIS(E);56440;LANGUIDIC;Personne sans activite professionnelle;Ouvriers qualifiés manutention magasin;S;AB;2018;56;0560098C;PRIVE NOTRE DAME DU VOEU;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;26108320222;D836744877X;RAYMOND;Gwilherm;2000-10-29;M;FRANCAIS(E);56920;KERFOURN;Elève/Etudiant;Commercant et assimile;S;P;2018;56;0560038M;JOSEPH LOTH;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;26108320222;D836744877X;RAYMOND;Gwilherm;2000-10-29;M;FRANCAIS(E);56920;KERFOURN;Elève/Etudiant;Contremaitre-agent de maitrise;S;P;2018;56;0560038M;JOSEPH LOTH;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;88239968801;R654641945F;LACOMBE;Pancras;2000-11-15;M;FRANCAIS(E);29860;PLOUVIEN;Personne sans activite professionnelle;Cadre administratif et commercial d'entr;S;AB;2018;29;0290335G;PRIVE LA CROIX ROUGE;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;88239968801;R654641945F;LACOMBE;Pancras;2000-11-15;M;FRANCAIS(E);29860;PLOUVIEN;Personne sans activite professionnelle;Cadre administratif et commercial d'entr;S;AB;2018;29;0290335G;PRIVE LA CROIX ROUGE;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;59766742483;I648682746G;ABADIE;Lowell;2000-08-13;M;FRANCAIS(E);29470;PLOUGASTEL-DAOULAS;Personne sans activite professionnelle;Retraité artisan-commerce-chef entrepris;S;P;2018;29;0290159R;PRIVE ST SEBASTIEN;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;59766742483;I648682746G;ABADIE;Lowell;2000-08-13;M;FRANCAIS(E);29470;PLOUGASTEL-DAOULAS;Personne sans activite professionnelle;Retraité artisan-commerce-chef entrepris;S;P;2018;29;0290159R;PRIVE ST SEBASTIEN;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;16623496577;D376135225N;TEYSSIER;Leroy;2000-01-18;M;FRANCAIS(E);29600;MORLAIX;Personne sans activite professionnelle;Ouvriers qualifiés de type industriel;S;B;2018;29;0290051Y;TRISTAN CORBIERE;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;16623496577;D376135225N;TEYSSIER;Leroy;2000-01-18;M;FRANCAIS(E);29600;MORLAIX;Personne sans activite professionnelle;Ouvriers qualifiés de type industriel;S;B;2018;29;0290051Y;TRISTAN CORBIERE;A;Bourse enseignement supérieur définitive
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;72673714081;L806182879Q;ROUSSET;Arron;2000-11-23;M;FRANCAIS(E);22120;QUESSOY;Personne sans activite professionnelle;Profession liberale;S;AB;2018;22;0220196U;HENRI AVRIL;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;72673714081;L806182879Q;ROUSSET;Arron;2000-11-23;M;FRANCAIS(E);22120;QUESSOY;Personne sans activite professionnelle;Profession liberale;S;AB;2018;22;0220196U;HENRI AVRIL;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;12232460105;G635916183Q;VERNAY;Brack;2000-04-29;M;FRANCAIS(E);22400;LAMBALLE-ARMOR;Personne sans activite professionnelle;Ouvriers qualifiés de type industriel;S;P;2018;22;0220099N;PRIVE ST JOSEPH;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;12232460105;G635916183Q;VERNAY;Brack;2000-04-29;M;FRANCAIS(E);22400;LAMBALLE-ARMOR;Personne sans activite professionnelle;Ouvriers qualifiés de type industriel;S;P;2018;22;0220099N;PRIVE ST JOSEPH;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;86266687737;S413747863I;PICHOT;Kory;2000-07-29;M;FRANCAIS(E);29850;GOUESNOU;Personne sans activite professionnelle;Ingenieur cadre technique d'entreprise;S;P;2018;29;0290335G;PRIVE LA CROIX ROUGE;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;86266687737;S413747863I;PICHOT;Kory;2000-07-29;M;FRANCAIS(E);29850;GOUESNOU;Personne sans activite professionnelle;Ingenieur cadre technique d'entreprise;S;P;2018;29;0290335G;PRIVE LA CROIX ROUGE;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;97924469448;X363441452C;DUTHEIL;Maynard;2000-05-29;M;FRANCAIS(E);22120;YFFINIAC;Personne sans activite professionnelle;Profession interm sante et  trav. social;S;AB;2018;22;0220111B;PRIVE ST PIERRE;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;97924469448;X363441452C;DUTHEIL;Maynard;2000-05-29;M;FRANCAIS(E);22120;YFFINIAC;Personne sans activite professionnelle;Profession interm sante et  trav. social;S;AB;2018;22;0220111B;PRIVE ST PIERRE;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;28468747713;C141645022W;OLLIER;Bentley;2001-12-05;M;FRANCAIS(E);22440;PLOUFRAGAN;Elève/Etudiant;Employe de commerce;S;B;2018;22;0220111B;PRIVE ST PIERRE;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;28468747713;C141645022W;OLLIER;Bentley;2001-12-05;M;FRANCAIS(E);22440;PLOUFRAGAN;Elève/Etudiant;Employe de commerce;S;B;2018;22;0220111B;PRIVE ST PIERRE;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;61761204192;V218323167F;THIBAUD;Royle;2000-11-15;M;FRANCAIS(E);22000;SAINT-BRIEUC;Elève/Etudiant;Artisan;S;AB;2018;22;0220110A;PRIVE ST CHARLES;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;61761204192;V218323167F;THIBAUD;Royle;2000-11-15;M;FRANCAIS(E);22000;SAINT-BRIEUC;Personne sans activite professionnelle;Artisan;S;AB;2018;22;0220110A;PRIVE ST CHARLES;A;Bourse enseignement supérieur définitive
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;58209448594;K545788311N;LOCATELLI;Porter;2000-09-02;M;FRANCAIS(E);22140;CAVAN;Elève/Etudiant;Ouvrier non qualifie;S;AB;2018;22;0220023F;FELIX LE DANTEC;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;58209448594;K545788311N;LOCATELLI;Porter;2000-09-02;M;FRANCAIS(E);22140;CAVAN;Elève/Etudiant;Ouvrier non qualifie;S;AB;2018;22;0220023F;FELIX LE DANTEC;A;
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;81230882446;P076631167V;LELIEVRE;Estelle;2000-08-10;F;FRANCAIS(E);29260;LESNEVEN;Personne sans activite professionnelle;Non renseigne (inconnu);S;AB;2018;29;0290044R;DE L ELORN;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;81230882446;P076631167V;LELIEVRE;Estelle;2000-08-10;F;FRANCAIS(E);29260;LESNEVEN;Elève/Etudiant;Profession liberale;S;AB;2018;29;0290044R;DE L ELORN;A;Bourse enseignement supérieur définitive
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;32681181980;Y569843612Q;ARNOLD;Sébastienne;2000-10-18;F;FRANCAIS(E);22250;BROONS;Personne sans activite professionnelle;Ouvrier qualifie;TI2D;TB;2018;22;0753881L;LA FONTAINE;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;32681181980;Y569843612Q;ARNOLD;Sébastienne;2000-10-18;F;FRANCAIS(E);22250;BROONS;Personne sans activite professionnelle;Ouvrier qualifie;TI2D;TB;2018;22;0753881L;LA FONTAINE;A;Bourse enseignement supérieur définitive
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;96333372436;F706512426V;POTIN;Dorthy;2000-07-22;F;FRANCAIS(E);56300;SAINT-THURIAU;Personne sans activite professionnelle;Sans profession -60 ans (hors retraité);S;AB;2018;56;0560038M;JOSEPH LOTH;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;96333372436;F706512426V;POTIN;Dorthy;2000-07-22;F;FRANCAIS(E);56300;SAINT-THURIAU;Personne sans activite professionnelle;Sans profession -60 ans (hors retraité);S;AB;2018;56;0560038M;JOSEPH LOTH;A;Bourse enseignement supérieur définitive
2018-2019;T10606;DUT INFORMATIQUE 2 ANNEE (apprentissage);171;76325203779;L073977627B;CHANUT;Trent;1995-04-23;M;SYRIEN(NE);22300;LANNION;Personne sans activite professionnelle;Non renseigne (inconnu);31;;2013;99;;;C;
2017-2018;T10601;DUT INFORMATIQUE 1 ANNEE;131;76325203779;L073977627B;CHANUT;Trent;1995-04-23;M;SYRIEN(NE);22300;LANNION;Personne sans activite professionnelle;Non renseigne (inconnu);31;;2013;99;;;C;
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;56190531766;C872586106E;MENAGER;Anson;2000-03-14;M;FRANCAIS(E);35430;SAINT-JOUAN-DES-GUERETS;Personne sans activite professionnelle;Retraité employé;S;B;2018;35;0350048M;JACQUES CARTIER;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;56190531766;C872586106E;MENAGER;Anson;2000-03-14;M;FRANCAIS(E);35430;SAINT-JOUAN-DES-GUERETS;Personne sans activite professionnelle;Retraité employé;S;B;2018;35;0350048M;JACQUES CARTIER;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;37304121773;D188647495V;CASSAGNE;Corie;2000-08-06;M;FRANCAIS(E);35700;RENNES;Elève/Etudiant;Cadre de la fonction publique;S;AB;2018;35;0350778F;PRIVE DE L ASSOMPTION;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;37304121773;D188647495V;CASSAGNE;Corie;2000-08-06;M;FRANCAIS(E);35700;RENNES;Elève/Etudiant;Cadre de la fonction publique;S;AB;2018;35;0350778F;PRIVE DE L ASSOMPTION;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;25386684211;C438657344P;BERTHELOT;Zacharie;2000-04-24;M;FRANCAIS(E);35410;CHATEAUGIRON;Elève/Etudiant;Ingenieur cadre technique d'entreprise;S;AB;2018;35;0350793X;PRIVE ST ETIENNE;C;
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;25386684211;C438657344P;BERTHELOT;Zacharie;2000-04-24;M;FRANCAIS(E);35410;CHATEAUGIRON;Elève/Etudiant;Ingenieur cadre technique d'entreprise;S;AB;2018;35;0350793X;PRIVE ST ETIENNE;A;
2019-2020;T10602;DUT INFORMATIQUE 2 ANNEE;141;38044125562;T354941133C;BIANCHI;Jake;2000-01-07;M;FRANCAIS(E);56370;SARZEAU;Personne sans activite professionnelle;Sans profession -60 ans (hors retraité);S;P;2018;56;0560051B;ALAIN RENE LESAGE;C;Bourse enseignement supérieur définitive
2018-2019;T10601;DUT INFORMATIQUE 1 ANNEE;131;38044125562;T354941133C;BIANCHI;Jake;2000-01-07;M;FRANCAIS(E);56370;SARZEAU;Personne sans activite professionnelle;Sans profession -60 ans (hors retraité);S;P;2018;56;0560051B;ALAIN RENE LESAGE;A;Bourse enseignement supérieur définitive
2019-2020;T10607;DUT INFORMATIQUE 2 ANNEE (alternance);191;48612625372;O240171781P;MORICE;Shaun;2001-02-22;M;FRANCAIS(E);22300;PLOULEC-H;Personne sans activite professionnelle;Artisan;S;B;2018;22;0220102S;PRIVE BOSSUET;C;
